Date,Column1,Index,Incoming Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds)
5/5/2017,Friday,35,194,184,0.9485,10,12:00:24 AM,12:02:24 AM,12:03:19 AM,0.7
5/6/2017,Saturday,36,201,196,0.9751,5,12:00:15 AM,12:02:16 AM,12:04:53 AM,0.82
5/7/2017,Sunday,37,218,189,0.867,29,12:00:32 AM,12:02:37 AM,12:08:04 AM,0.57
5/8/2017,Monday,38,194,190,0.9794,4,12:00:16 AM,12:02:22 AM,12:02:02 AM,0.82
5/9/2017,Tuesday,39,227,219,0.9648,8,12:00:15 AM,12:02:44 AM,12:03:55 AM,0.84
5/10/2017,Wednesday,40,52,52,1,0,12:00:09 AM,12:02:16 AM,12:00:52 AM,0.94
5/11/2017,Thursday,41,385,370,0.961,15,12:00:20 AM,12:02:11 AM,12:03:10 AM,0.76
5/12/2017,Friday,42,137,130,0.9489,7,12:00:16 AM,12:02:26 AM,12:09:47 AM,0.76
5/13/2017,Saturday,43,254,252,0.9921,2,12:00:10 AM,12:02:08 AM,12:01:10 AM,0.91
5/14/2017,Sunday,44,211,206,0.9763,5,12:00:11 AM,12:02:24 AM,12:04:37 AM,0.87
5/15/2017,Monday,45,282,279,0.9894,3,12:00:07 AM,12:02:18 AM,12:01:11 AM,0.93
5/16/2017,Tuesday,46,262,260,0.9924,2,12:00:08 AM,12:02:31 AM,12:01:13 AM,0.91
5/17/2017,Wednesday,47,65,63,0.9692,2,12:00:12 AM,12:02:22 AM,12:02:10 AM,0.86
5/18/2017,Thursday,48,325,323,0.9938,2,12:00:05 AM,12:02:13 AM,12:01:14 AM,0.97
5/19/2017,Friday,49,235,230,0.9787,5,12:00:05 AM,12:02:19 AM,12:00:58 AM,0.96
5/20/2017,Saturday,50,215,212,0.986,3,12:00:05 AM,12:02:14 AM,12:00:58 AM,0.96
5/21/2017,Sunday,51,85,85,1,0,12:00:03 AM,12:02:26 AM,12:00:55 AM,0.98
5/22/2017,Monday,52,195,195,1,0,12:00:05 AM,12:02:24 AM,12:02:13 AM,0.97
5/23/2017,Tuesday,53,188,182,0.9681,6,12:00:15 AM,12:02:14 AM,12:01:51 AM,0.84
5/24/2017,Wednesday,54,58,58,1,0,12:00:06 AM,12:02:22 AM,12:00:52 AM,0.95
5/25/2017,Thursday,55,251,247,0.9841,4,12:00:14 AM,12:02:16 AM,12:01:53 AM,0.84
5/26/2017,Friday,56,181,178,0.9834,3,12:00:12 AM,12:02:24 AM,12:01:57 AM,0.86
5/27/2017,Saturday,57,228,213,0.9342,15,12:00:26 AM,12:02:16 AM,12:03:07 AM,0.64
5/28/2017,Sunday,58,165,163,0.9879,2,12:00:09 AM,12:02:25 AM,12:02:20 AM,0.9
5/29/2017,Monday,59,185,179,0.9676,6,12:00:17 AM,12:02:17 AM,12:02:33 AM,0.79
5/30/2017,Tuesday,60,172,164,0.9535,8,12:00:18 AM,12:02:27 AM,12:04:09 AM,0.77
5/31/2017,Wednesday,61,57,51,0.8947,6,12:00:07 AM,12:01:47 AM,12:03:40 AM,0.91
6/1/2017,Thursday,62,200,192,0.96,8,12:00:10 AM,12:02:18 AM,12:02:49 AM,0.86
6/2/2017,Friday,63,202,199,0.9851,3,12:00:08 AM,12:02:05 AM,12:01:17 AM,0.91
6/3/2017,Saturday,64,217,212,0.977,5,12:00:07 AM,12:01:55 AM,12:01:50 AM,0.94
6/4/2017,Sunday,65,225,223,0.9911,2,12:00:09 AM,12:02:09 AM,12:01:06 AM,0.92
6/5/2017,Monday,66,235,231,0.983,4,12:00:08 AM,12:02:19 AM,12:01:06 AM,0.96
6/6/2017,Tuesday,67,202,201,0.995,1,12:00:08 AM,12:02:21 AM,12:01:53 AM,0.95
6/7/2017,Wednesday,68,43,39,0.907,4,12:00:11 AM,12:02:15 AM,12:01:50 AM,0.76
6/8/2017,Thursday,69,194,187,0.9639,7,12:00:10 AM,12:02:27 AM,12:02:30 AM,0.87
6/9/2017,Friday,70,202,199,0.9851,3,12:00:13 AM,12:02:23 AM,12:01:58 AM,0.86
6/10/2017,Saturday,71,146,140,0.9589,6,12:00:12 AM,12:02:13 AM,12:04:35 AM,0.83
6/11/2017,Sunday,72,147,145,0.9864,2,12:00:09 AM,12:02:15 AM,12:00:58 AM,0.91
6/12/2017,Monday,73,155,145,0.9355,10,12:00:12 AM,12:02:33 AM,12:04:33 AM,0.82
6/13/2017,Tuesday,74,157,156,0.9936,1,12:00:09 AM,12:02:24 AM,12:00:53 AM,0.93
6/14/2017,Wednesday,75,38,36,0.9474,2,12:00:13 AM,12:02:11 AM,12:00:59 AM,0.84
6/15/2017,Thursday,76,166,162,0.9759,4,12:00:09 AM,12:02:29 AM,12:02:45 AM,0.89
6/16/2017,Friday,77,226,216,0.9558,10,12:00:13 AM,12:02:15 AM,12:01:46 AM,0.81
6/17/2017,Saturday,78,253,247,0.9763,6,12:00:10 AM,12:01:54 AM,12:01:17 AM,0.88
6/18/2017,Sunday,79,134,134,1,0,12:00:03 AM,12:02:13 AM,12:00:26 AM,1
6/19/2017,Monday,80,70,67,0.9571,3,12:00:12 AM,12:02:01 AM,12:01:16 AM,0.84
6/20/2017,Tuesday,81,83,82,0.988,1,12:00:07 AM,12:02:03 AM,12:01:16 AM,0.95
6/21/2017,Wednesday,82,42,40,0.9524,2,12:00:08 AM,12:01:51 AM,12:01:36 AM,0.9
6/22/2017,Thursday,83,66,64,0.9697,2,12:00:05 AM,12:02:00 AM,12:01:39 AM,0.95
6/23/2017,Friday,84,153,146,0.9542,7,12:00:20 AM,12:02:08 AM,12:04:32 AM,0.76
6/24/2017,Saturday,85,141,135,0.9574,6,12:00:23 AM,12:02:06 AM,12:02:15 AM,0.67
6/25/2017,Sunday,86,146,143,0.9795,3,12:00:17 AM,12:01:57 AM,12:02:27 AM,0.78
6/26/2017,Monday,87,144,140,0.9722,4,12:00:12 AM,12:01:53 AM,12:02:05 AM,0.84
6/27/2017,Tuesday,88,105,103,0.981,2,12:00:17 AM,12:01:55 AM,12:02:01 AM,0.76
6/28/2017,Wednesday,89,36,35,0.9722,1,12:00:16 AM,12:01:54 AM,12:01:31 AM,0.77
6/29/2017,Thursday,90,61,57,0.9344,4,12:00:04 AM,12:02:00 AM,12:03:41 AM,0.92
6/30/2017,Friday,91,60,58,0.9667,2,12:00:11 AM,12:02:08 AM,12:01:34 AM,0.85
7/1/2017,Saturday,92,18,17,0.9444,1,12:00:05 AM,12:02:39 AM,12:00:20 AM,1
7/2/2017,Sunday,93,206,202,0.9806,4,12:00:09 AM,12:01:54 AM,12:01:10 AM,0.89
7/3/2017,Monday,94,194,193,0.9948,1,12:00:11 AM,12:01:57 AM,12:01:34 AM,0.85
7/4/2017,Tuesday,95,206,200,0.9709,6,12:00:10 AM,12:02:08 AM,12:02:00 AM,0.86
7/5/2017,Wednesday,96,53,53,1,0,12:00:18 AM,12:02:08 AM,12:02:10 AM,0.77
7/6/2017,Thursday,97,147,145,0.9864,2,12:00:09 AM,12:01:50 AM,12:01:24 AM,0.88
7/7/2017,Friday,98,201,197,0.9801,4,12:00:09 AM,12:01:59 AM,12:02:23 AM,0.91
7/8/2017,Saturday,99,202,198,0.9802,4,12:00:10 AM,12:02:09 AM,12:01:11 AM,0.89
7/9/2017,Sunday,100,226,219,0.969,7,12:00:10 AM,12:02:12 AM,12:02:45 AM,0.88
7/10/2017,Monday,101,167,163,0.976,4,12:00:07 AM,12:02:09 AM,12:01:50 AM,0.93
7/11/2017,Tuesday,102,164,164,1,0,12:00:11 AM,12:02:17 AM,12:01:45 AM,0.89
7/12/2017,Wednesday,103,42,41,0.9762,1,12:00:11 AM,12:02:09 AM,12:01:18 AM,0.88
7/13/2017,Thursday,104,79,78,0.9873,1,12:00:07 AM,12:02:23 AM,12:00:48 AM,0.95
7/14/2017,Friday,105,165,162,0.9818,3,12:00:09 AM,12:02:09 AM,12:01:50 AM,0.9
7/15/2017,Saturday,106,180,174,0.9667,6,12:00:16 AM,12:02:16 AM,12:01:43 AM,0.78
7/16/2017,Sunday,107,179,176,0.9832,3,12:00:10 AM,12:02:26 AM,12:01:50 AM,0.88
7/17/2017,Monday,108,217,215,0.9908,2,12:00:08 AM,12:02:08 AM,12:02:07 AM,0.92
7/18/2017,Tuesday,109,171,167,0.9766,4,12:00:10 AM,12:02:15 AM,12:01:50 AM,0.86
7/19/2017,Wednesday,110,37,37,1,0,12:00:09 AM,12:01:57 AM,12:01:22 AM,0.86
7/20/2017,Thursday,111,215,206,0.9581,9,12:00:18 AM,12:02:09 AM,12:02:45 AM,0.81
7/21/2017,Friday,112,218,212,0.9725,6,12:00:16 AM,12:02:17 AM,12:02:09 AM,0.84
7/22/2017,Saturday,113,205,202,0.9854,3,12:00:11 AM,12:02:25 AM,12:01:37 AM,0.91
7/23/2017,Sunday,114,195,190,0.9744,5,12:00:12 AM,12:02:22 AM,12:01:14 AM,0.89
7/24/2017,Monday,115,181,176,0.9724,5,12:00:13 AM,12:02:13 AM,12:01:16 AM,0.82
7/25/2017,Tuesday,116,212,206,0.9717,6,12:00:11 AM,12:02:20 AM,12:01:49 AM,0.89
7/26/2017,Wednesday,117,33,32,0.9697,1,12:00:08 AM,12:02:28 AM,12:00:55 AM,0.91
7/27/2017,Thursday,118,298,287,0.9631,11,12:00:13 AM,12:01:35 AM,12:02:51 AM,0.83
7/28/2017,Friday,119,158,156,0.9873,2,12:00:11 AM,12:02:23 AM,12:01:32 AM,0.9
7/29/2017,Saturday,120,156,154,0.9872,2,12:00:12 AM,12:02:13 AM,12:01:01 AM,0.86
7/30/2017,Sunday,121,163,163,1,0,12:00:10 AM,12:02:02 AM,12:02:46 AM,0.93
7/31/2017,Monday,122,98,98,1,0,12:00:07 AM,12:02:10 AM,12:01:10 AM,0.94
8/1/2017,Tuesday,123,255,249,0.9765,6,12:00:15 AM,12:02:19 AM,12:05:31 AM,0.83
8/2/2017,Wednesday,124,50,49,0.98,1,12:00:08 AM,12:02:02 AM,12:00:57 AM,0.92
8/3/2017,Thursday,125,290,289,0.9966,1,12:00:12 AM,12:02:01 AM,12:01:10 AM,0.89
8/4/2017,Friday,126,296,281,0.9493,15,12:00:22 AM,12:02:08 AM,12:04:30 AM,0.74
8/5/2017,Saturday,127,260,257,0.9885,3,12:00:17 AM,12:02:13 AM,12:01:20 AM,0.87
8/6/2017,Sunday,128,201,193,0.9602,8,12:00:19 AM,12:02:23 AM,12:02:02 AM,0.77
8/7/2017,Monday,129,132,131,0.9924,1,12:00:17 AM,12:02:13 AM,12:01:30 AM,0.77
8/8/2017,Tuesday,130,167,165,0.988,2,12:00:09 AM,12:02:06 AM,12:00:57 AM,0.92
8/9/2017,Wednesday,131,85,79,0.9294,6,12:00:18 AM,12:02:25 AM,12:01:53 AM,0.77
8/10/2017,Thursday,132,244,236,0.9672,8,12:00:21 AM,12:02:29 AM,12:01:56 AM,0.76
8/11/2017,Friday,133,186,182,0.9785,4,12:00:14 AM,12:02:13 AM,12:01:38 AM,0.79
8/12/2017,Saturday,134,278,264,0.9496,14,12:00:19 AM,12:02:20 AM,12:02:10 AM,0.77
8/13/2017,Sunday,135,272,268,0.9853,4,12:00:15 AM,12:02:30 AM,12:01:45 AM,0.8
8/14/2017,Monday,136,218,206,0.945,12,12:00:25 AM,12:02:21 AM,12:03:41 AM,0.67
8/15/2017,Tuesday,137,152,148,0.9737,4,12:00:14 AM,12:02:18 AM,12:01:25 AM,0.83
8/16/2017,Wednesday,138,48,43,0.8958,5,12:00:22 AM,12:02:01 AM,12:01:21 AM,0.7
8/17/2017,Thursday,139,186,181,0.9731,5,12:00:14 AM,12:02:20 AM,12:01:49 AM,0.85
8/18/2017,Friday,140,182,180,0.989,2,12:00:08 AM,12:02:10 AM,12:00:58 AM,0.93
8/19/2017,Saturday,141,192,188,0.9792,4,12:00:20 AM,12:01:58 AM,12:01:56 AM,0.76
8/20/2017,Sunday,142,155,148,0.9548,7,12:00:14 AM,12:02:24 AM,12:02:18 AM,0.85
8/21/2017,Monday,143,144,142,0.9861,2,12:00:11 AM,12:02:19 AM,12:01:05 AM,0.9
8/22/2017,Tuesday,144,164,162,0.9878,2,12:00:12 AM,12:02:35 AM,12:01:50 AM,0.85
8/23/2017,Wednesday,145,27,26,0.963,1,12:00:11 AM,12:02:04 AM,12:01:17 AM,0.81
8/24/2017,Thursday,146,177,175,0.9887,2,12:00:11 AM,12:02:19 AM,12:01:35 AM,0.91
8/25/2017,Friday,147,134,131,0.9776,3,12:00:14 AM,12:02:23 AM,12:01:39 AM,0.81
8/26/2017,Saturday,148,125,120,0.96,5,12:00:14 AM,12:02:20 AM,12:02:52 AM,0.85
8/27/2017,Sunday,149,167,163,0.976,4,12:00:16 AM,12:02:24 AM,12:01:12 AM,0.81
8/28/2017,Monday,150,169,167,0.9882,2,12:00:09 AM,12:02:14 AM,12:01:44 AM,0.9
8/29/2017,Tuesday,151,162,160,0.9877,2,12:00:16 AM,12:02:15 AM,12:01:31 AM,0.83
8/30/2017,Wednesday,152,25,25,1,0,12:00:16 AM,12:02:35 AM,12:00:58 AM,0.76
8/31/2017,Thursday,153,157,146,0.9299,11,12:00:17 AM,12:02:17 AM,12:01:51 AM,0.8
9/1/2017,Friday,154,166,154,0.9277,12,12:00:25 AM,12:02:18 AM,12:03:39 AM,0.66
9/2/2017,Saturday,155,58,55,0.9483,3,12:00:16 AM,12:02:11 AM,12:02:45 AM,0.74
9/3/2017,Sunday,156,75,74,0.9867,1,12:00:15 AM,12:02:13 AM,12:03:18 AM,0.84
9/4/2017,Monday,157,28,28,1,0,12:00:07 AM,12:02:28 AM,12:00:51 AM,0.96
9/5/2017,Tuesday,158,108,107,0.9907,1,12:00:09 AM,12:02:11 AM,12:00:59 AM,0.94
9/6/2017,Wednesday,159,21,21,1,0,12:00:07 AM,12:02:58 AM,12:00:58 AM,0.95
9/7/2017,Thursday,160,189,182,0.963,7,12:00:21 AM,12:02:10 AM,12:04:46 AM,0.76
9/8/2017,Friday,161,161,155,0.9627,6,12:00:19 AM,12:02:27 AM,12:01:50 AM,0.72
9/9/2017,Saturday,162,155,151,0.9742,4,12:00:17 AM,12:02:20 AM,12:01:49 AM,0.81
9/10/2017,Sunday,163,161,150,0.9317,11,12:00:17 AM,12:02:22 AM,12:02:45 AM,0.75
9/11/2017,Monday,164,132,129,0.9773,3,12:00:27 AM,12:02:22 AM,12:02:34 AM,0.65
9/12/2017,Tuesday,165,122,119,0.9754,3,12:00:16 AM,12:02:24 AM,12:01:50 AM,0.8
9/13/2017,Wednesday,166,17,17,1,0,12:00:21 AM,12:02:40 AM,12:00:58 AM,0.76
9/14/2017,Thursday,167,45,45,1,0,12:00:06 AM,12:02:06 AM,12:00:57 AM,0.96
9/15/2017,Friday,168,177,172,0.9718,5,12:00:20 AM,12:02:23 AM,12:02:51 AM,0.76
9/16/2017,Saturday,169,133,132,0.9925,1,12:00:10 AM,12:02:25 AM,12:00:59 AM,0.93
9/17/2017,Sunday,170,177,167,0.9435,10,12:00:15 AM,12:02:22 AM,12:04:35 AM,0.83
9/18/2017,Monday,171,127,124,0.9764,3,12:00:16 AM,12:02:22 AM,12:01:45 AM,0.82
9/19/2017,Tuesday,172,148,147,0.9932,1,12:00:16 AM,12:02:11 AM,12:03:11 AM,0.83
9/20/2017,Wednesday,173,23,23,1,0,12:00:32 AM,12:02:02 AM,12:02:43 AM,0.65
9/21/2017,Thursday,174,141,134,0.9504,7,12:00:24 AM,12:02:38 AM,12:02:29 AM,0.72
9/22/2017,Friday,175,124,120,0.9677,4,12:00:20 AM,12:02:33 AM,12:02:58 AM,0.82
9/23/2017,Saturday,176,165,156,0.9455,9,12:00:25 AM,12:02:21 AM,12:02:38 AM,0.71
9/24/2017,Sunday,177,168,166,0.9881,2,12:00:21 AM,12:02:33 AM,12:03:43 AM,0.8
9/25/2017,Monday,178,198,188,0.9495,10,12:00:22 AM,12:02:32 AM,12:02:45 AM,0.71
9/26/2017,Tuesday,179,139,133,0.9568,6,12:00:17 AM,12:02:40 AM,12:03:03 AM,0.8
9/27/2017,Wednesday,180,46,45,0.9783,1,12:00:10 AM,12:02:14 AM,12:01:16 AM,0.89
9/28/2017,Thursday,181,184,174,0.9457,10,12:00:23 AM,12:02:37 AM,12:04:35 AM,0.77
9/29/2017,Friday,182,207,190,0.9179,17,12:00:21 AM,12:02:23 AM,12:04:06 AM,0.71
9/30/2017,Saturday,183,191,180,0.9424,11,12:00:21 AM,12:02:32 AM,12:01:53 AM,0.77
10/1/2017,Sunday,184,213,204,0.9577,9,12:00:24 AM,12:02:26 AM,12:02:46 AM,0.7
10/2/2017,Monday,185,483,451,0.9337,32,12:00:16 AM,12:00:57 AM,12:08:45 AM,0.79
10/3/2017,Tuesday,186,547,526,0.9616,21,12:00:19 AM,12:01:21 AM,12:03:54 AM,0.82
10/4/2017,Wednesday,187,54,53,0.9815,1,12:00:25 AM,12:02:36 AM,12:01:18 AM,0.7
10/5/2017,Thursday,188,275,261,0.9491,14,12:00:22 AM,12:02:13 AM,12:02:12 AM,0.74
10/6/2017,Friday,189,205,195,0.9512,10,12:00:24 AM,12:02:34 AM,12:03:00 AM,0.71
10/7/2017,Saturday,190,80,77,0.9625,3,12:00:10 AM,12:02:11 AM,12:01:33 AM,0.9
10/8/2017,Sunday,191,200,195,0.975,5,12:00:21 AM,12:02:30 AM,12:02:48 AM,0.75
10/9/2017,Monday,192,154,150,0.974,4,12:00:21 AM,12:02:29 AM,12:02:45 AM,0.74
10/10/2017,Tuesday,193,163,155,0.9509,8,12:00:23 AM,12:02:18 AM,12:02:26 AM,0.75
10/11/2017,Wednesday,194,12,12,1,0,12:00:25 AM,12:03:37 AM,12:01:28 AM,0.67
10/12/2017,Thursday,195,218,212,0.9725,6,12:00:20 AM,12:01:56 AM,12:04:11 AM,0.76
10/13/2017,Friday,196,172,163,0.9477,9,12:00:18 AM,12:02:09 AM,12:01:53 AM,0.82
10/14/2017,Saturday,197,205,194,0.9463,11,12:00:18 AM,12:02:24 AM,12:01:41 AM,0.81
10/15/2017,Sunday,198,178,168,0.9438,10,12:00:23 AM,12:02:28 AM,12:02:50 AM,0.69
10/16/2017,Monday,199,214,201,0.9393,13,12:00:23 AM,12:02:11 AM,12:02:24 AM,0.66
10/17/2017,Tuesday,200,169,161,0.9527,8,12:00:23 AM,12:02:17 AM,12:04:35 AM,0.72
10/18/2017,Wednesday,201,46,46,1,0,12:00:25 AM,12:02:24 AM,12:01:35 AM,0.72
10/19/2017,Thursday,202,183,177,0.9672,6,12:00:18 AM,12:02:30 AM,12:01:07 AM,0.81
10/20/2017,Friday,203,208,190,0.9135,18,12:00:21 AM,12:02:25 AM,12:01:50 AM,0.74
10/21/2017,Saturday,204,234,224,0.9573,10,12:00:22 AM,12:02:15 AM,12:03:20 AM,0.74
10/22/2017,Sunday,205,204,194,0.951,10,12:00:18 AM,12:02:17 AM,12:01:50 AM,0.79
10/23/2017,Monday,206,204,189,0.9265,15,12:00:21 AM,12:02:15 AM,12:03:56 AM,0.71
10/24/2017,Tuesday,207,99,99,1,0,12:00:16 AM,12:02:25 AM,12:01:02 AM,0.83
10/25/2017,Wednesday,208,29,27,0.931,2,12:00:19 AM,12:02:47 AM,12:02:22 AM,0.79
10/26/2017,Thursday,209,167,159,0.9521,8,12:00:23 AM,12:02:28 AM,12:04:35 AM,0.7
10/27/2017,Friday,210,164,161,0.9817,3,12:00:17 AM,12:02:35 AM,12:01:37 AM,0.82
10/28/2017,Saturday,211,158,147,0.9304,11,12:00:21 AM,12:02:34 AM,12:02:03 AM,0.72
10/29/2017,Sunday,212,165,161,0.9758,4,12:00:17 AM,12:02:26 AM,12:01:06 AM,0.78
10/30/2017,Monday,213,129,124,0.9612,5,12:00:23 AM,12:02:28 AM,12:01:50 AM,0.71
10/31/2017,Tuesday,214,155,149,0.9613,6,12:00:23 AM,12:02:26 AM,12:04:19 AM,0.75
11/1/2017,Wednesday,215,24,22,0.9167,2,12:00:28 AM,12:02:24 AM,12:01:21 AM,0.54
11/2/2017,Thursday,216,209,200,0.9569,9,12:00:23 AM,12:02:24 AM,12:02:11 AM,0.67
11/3/2017,Friday,217,239,226,0.9456,13,12:00:26 AM,12:02:19 AM,12:02:50 AM,0.67
11/4/2017,Saturday,218,229,210,0.917,19,12:00:29 AM,12:02:23 AM,12:08:16 AM,0.64
11/5/2017,Sunday,219,194,172,0.8866,22,12:00:23 AM,12:02:20 AM,12:06:16 AM,0.66
11/6/2017,Monday,220,202,179,0.8861,23,12:00:24 AM,12:02:16 AM,12:02:50 AM,0.64
11/7/2017,Tuesday,221,268,254,0.9478,14,12:00:15 AM,12:01:51 AM,12:02:40 AM,0.81
11/8/2017,Wednesday,222,52,49,0.9423,3,12:00:18 AM,12:02:18 AM,12:02:17 AM,0.76
11/9/2017,Thursday,223,414,397,0.9589,17,12:00:23 AM,12:01:58 AM,12:05:32 AM,0.71
11/10/2017,Friday,224,346,325,0.9393,21,12:00:27 AM,12:02:22 AM,12:02:45 AM,0.66
11/11/2017,Saturday,225,187,179,0.9572,8,12:00:25 AM,12:02:14 AM,12:02:59 AM,0.67
11/12/2017,Sunday,226,203,186,0.9163,17,12:00:24 AM,12:02:38 AM,12:04:35 AM,0.7
11/13/2017,Monday,227,204,194,0.951,10,12:00:18 AM,12:02:33 AM,12:02:02 AM,0.82
11/14/2017,Tuesday,228,126,121,0.9603,5,12:00:21 AM,12:02:32 AM,12:01:51 AM,0.71
11/15/2017,Wednesday,229,36,36,1,0,12:00:17 AM,12:02:07 AM,12:01:31 AM,0.78
11/16/2017,Thursday,230,180,165,0.9167,15,12:00:27 AM,12:02:30 AM,12:02:19 AM,0.66
11/17/2017,Friday,231,169,162,0.9586,7,12:00:20 AM,12:02:25 AM,12:01:53 AM,0.75
11/18/2017,Saturday,232,155,151,0.9742,4,12:00:21 AM,12:02:20 AM,12:02:45 AM,0.71
11/19/2017,Sunday,233,169,137,0.8107,32,12:00:38 AM,12:02:24 AM,12:05:30 AM,0.4
11/20/2017,Monday,234,61,45,0.7377,16,12:00:32 AM,12:02:49 AM,12:05:30 AM,0.41
11/21/2017,Tuesday,235,167,136,0.8144,31,12:00:42 AM,12:02:36 AM,12:05:28 AM,0.36
11/22/2017,Wednesday,236,32,27,0.8438,5,12:00:35 AM,12:02:22 AM,12:03:10 AM,0.53
11/23/2017,Thursday,237,229,148,0.6463,81,12:00:36 AM,12:02:48 AM,12:10:39 AM,0.43
11/24/2017,Friday,238,208,204,0.9808,4,12:00:19 AM,12:03:06 AM,12:05:14 AM,0.78
11/25/2017,Saturday,239,175,168,0.96,7,12:00:25 AM,12:02:51 AM,12:03:44 AM,0.65
11/26/2017,Sunday,240,177,167,0.9435,10,12:00:22 AM,12:02:41 AM,12:04:24 AM,0.68
11/27/2017,Monday,241,822,767,0.9331,55,12:00:24 AM,12:01:25 AM,12:04:35 AM,0.64
11/28/2017,Tuesday,242,87,85,0.977,2,12:00:23 AM,12:02:25 AM,12:02:17 AM,0.68
11/29/2017,Wednesday,243,41,39,0.9512,2,12:00:15 AM,12:02:42 AM,12:01:18 AM,0.83
11/30/2017,Thursday,244,280,257,0.9179,23,12:00:31 AM,12:02:33 AM,12:07:55 AM,0.64
12/1/2017,Friday,245,199,192,0.9648,7,12:00:22 AM,12:02:46 AM,12:02:48 AM,0.74
12/2/2017,Saturday,246,252,239,0.9484,13,12:00:29 AM,12:02:29 AM,12:03:36 AM,0.65
12/3/2017,Sunday,247,220,208,0.9455,12,12:00:20 AM,12:02:36 AM,12:02:45 AM,0.76
12/4/2017,Monday,248,206,193,0.9369,13,12:00:24 AM,12:02:27 AM,12:03:37 AM,0.75
